title_id,title,platform,year_of_release,genre,publisher,na_sales,eu_sales,jp_sales,other_sales,global_sales,critic_score,critic_count,user_score,user_count,developer,rating
52,Age of Mythology,PC,2002.0,Strategy,Microsoft Game Studios,0.02,0.06,0.0,0.01,0.09,89.0,31.0,8.9,484.0,Ensemble Studios,T
53,Age of Mythology: The Titans,PC,2003.0,Strategy,Microsoft Game Studios,0.02,0.02,0.0,0.0,0.04,84.0,25.0,8.7,119.0,Ensemble Studios,T
54,Age of Wonders II: The Wizard's Throne,PC,2000.0,Simulation,Interplay,0.0,0.01,0.0,0.0,0.02,,,8.0,9.0,Spellbound,E
55,Age of Wonders III,PC,2011.0,Simulation,Kalypso Media,0.0,0.04,0.0,0.01,0.05,57.0,4.0,5.5,30.0,Kalypso,E
56,Age of Wonders: Planetfall,XboxOne,2011.0,Simulation,bitComposer Games,0.0,0.02,0.0,0.01,0.03,65.0,5.0,6.4,24.0,Games Farm,T
57,Age of Wonders: Planetfall,PC,2011.0,Simulation,bitComposer Games,0.1,0.06,0.0,0.03,0.08,51.0,8.0,,,Games Farm,T
58,Airborne Assault: Highway to the Reich,PC,2011.0,Simulation,Unknown,0.0,0.02,0.0,0.0,0.12,,,,,,
59,Airborne Assault: Red Devils Over Arnhem,PC,2012.0,Adventure,5pb,0.0,0.0,0.01,0.0,0.14,,,,,,
60,AKB1/149: Love Election,PlayStation3,2013.0,Adventure,Namco Bandai Games,0.0,0.0,0.08,0.0,0.08,,,,,,
61,Akiba's Trip: Undead & Undressed,PlayStation3,2013.0,Action,Nippon Ichi Software,0.05,0.01,0.04,0.01,0.11,,,,,,
62,Akiba's Trip: Undead & Undressed,PlayStation4,2014.0,Action,Acquire,0.08,0.0,0.01,0.02,0.12,,,,,,
63,Alan Wake,PC,2012.0,Action,Nordic Games,0.0,0.06,0.0,0.01,0.06,83.0,30.0,8.0,1473.0,Remedy Entertainment,T
64,Alice: Madness Returns,PC,2011.0,Adventure,Electronic Arts,0.0,0.1,0.0,0.02,0.12,75.0,29.0,8.4,559.0,Spicy Horse,M
65,Alice: Madness Returns,PlayStation3,2011.0,Adventure,Electronic Arts,0.22,0.24,0.04,0.08,0.58,70.0,51.0,7.9,181.0,Spicy Horse,M
66,Alien: Isolation,PC,2014.0,Shooter,Sega,0.0,0.14,0.0,0.01,0.14,81.0,41.0,8.4,1588.0,Creative Assembly,M
67,Alien: Isolation,PlayStation3,2014.0,Shooter,Sega,0.12,0.16,0.0,0.05,0.33,,,8.3,111.0,Creative Assembly,M
68,Alien: Isolation,PlayStation4,2014.0,Shooter,Sega,0.34,0.57,0.04,0.17,1.13,79.0,50.0,8.1,795.0,Creative Assembly,M
69,Alien: Isolation,XboxOne,2014.0,Shooter,Sega,0.22,0.24,0.0,0.04,0.51,78.0,24.0,7.8,314.0,Creative Assembly,M
70,Aliens vs Predator,PC,2010.0,Shooter,Sega,0.0,0.17,0.0,0.02,0.19,68.0,35.0,7.4,985.0,Rebellion,M
71,Aliens vs Predator,PlayStation3,2010.0,Shooter,Sega,0.41,0.46,0.0,0.18,1.04,65.0,57.0,7.3,168.0,Rebellion,M
72,Aliens: Colonial Marines,PC,2013.0,Shooter,Sega,0.1,0.06,0.0,0.02,0.18,45.0,40.0,3.5,1156.0,Gearbox Software,M
73,Aliens: Colonial Marines,PlayStation3,2013.0,Shooter,Sega,0.2,0.29,0.0,0.11,0.6,43.0,25.0,3.6,295.0,Gearbox Software,M
74,All Points Bulletin,PC,2010.0,Role-Playing,Electronic Arts,0.0,0.03,0.0,0.01,0.04,,,,,,
75,All-Pro Football 2K8,PlayStation3,2007.0,Sports,Take-Two Interactive,0.14,0.0,0.0,0.01,0.15,73.0,23.0,7.3,21.0,Visual Concepts,E10+
76,Alone in the Dark,PC,2008.0,Adventure,Atari,0.0,0.01,0.0,0.0,0.01,55.0,19.0,5.7,148.0,Eden Studios,M
77,Alone in the Dark: Inferno,PlayStation3,2008.0,Adventure,Atari,0.09,0.03,0.0,0.02,0.13,69.0,25.0,5.6,50.0,Eden Studios,M
78,Alpha Protocol,PC,2010.0,Role-Playing,Sega,0.0,0.03,0.0,0.01,0.03,72.0,25.0,7.5,511.0,Obsidian Entertainment,M
79,Alpha Protocol,PlayStation3,2010.0,Role-Playing,Sega,0.19,0.17,0.0,0.07,0.43,64.0,49.0,6.9,117.0,Obsidian Entertainment,M
