title_id,title,platform,release_date,score,user_score,developer,genre,critics,users,franchise
5870,Sword of the Stars: Born of Blood,PC,6/5/2007,79,7.7,KerberosProductions,"Strategy,Turn-Based,General,Sci-Fi,Sci-Fi",9,15,Sword of the Stars
5871,Sword of the Stars: The Pit,PC,22-Feb-13,69,7.8,KerberosProductions,"Role-Playing,Action RPG,Action RPG,Roguelike",7,93,
5872,Swords & Soldiers,PlayStation3,9/28/2010,81,6.4,RonimoGames,"General,Strategy,General",13,11,Swords & Soldiers
5873,Swords & Soldiers II: Shawarmageddon,Switch,3/1/2019,82,8.0,RonimoGames,"Strategy,General",8,11,Swords & Soldiers
5874,Syberia,Switch,10/20/2017,76,7.3,KoalabsStudio,"Adventure,3D,Third-Person",8,32,Syberia
5875,Syberia,PC,9/1/2002,82,8.5,Microids,"Adventure,3D,Fantasy,Third-Person,Fantasy",26,329,Syberia
5876,Syberia II,PC,3/30/2004,80,8.3,Microids,"Adventure,3D,Fantasy,Third-Person,Fantasy",23,215,Syberia
5877,Symphony,PC,8/6/2012,75,7.6,EmptyClipStudios,"Miscellaneous,General,General",13,51,Symphony
5878,Syndicate,PlayStation3,2/21/2012,75,6.5,Starbreeze,"Action,General,Shooter,General,Shooter,First-Person,Sci-Fi,Arcade",29,114,Syndicate
5879,Syndicate (2012),PC,21-Feb-12,69,5.9,Starbreeze,"Action,General,General,Shooter,First-Person,Arcade",16,421,
5880,System Shock 2,PC,8/11/1999,92,9.1,"LookingGlassStudios,IrrationalGames","Action Adventure,Sci-Fi,Sci-Fi,Survival",20,638,System Shock
5881,System Shock: Enhanced Edition,PC,9/22/2015,85,8.5,LookingGlassStudios,"Action Adventure,General",9,60,System Shock
5882,Table Top Racing: World Tour,XboxOne,3/10/2017,75,5.6,PlayriseDigital,"Racing,Arcade,Automobile",8,5,Table Top Racing
5883,Tabula Rasa,PC,10/30/2007,78,7.7,NCSOFT,"Role-Playing,Massively Multiplayer Online,Massively Multiplayer,Sci-Fi",34,111,Tabula Rasa
5884,Tachyon Project,XboxOne,15-Jul-15,74,6.9,EclipseGames,"Action,Shooter,Shoot-'Em-Up,Top-Down",11,8,
5885,Tachyon Project,PlayStation4,19-Jan-16,71,6.0,EclipseGames,"Action,Shooter,Shoot-'Em-Up,Top-Down",10,6,
5886,Tacoma,PlayStation4,5/8/2018,79,5.9,Fullbright,"Adventure,General",9,18,Tacoma
5887,Tacoma,PC,8/1/2017,76,6.4,"TheFullbrightCompany,Fullbright","Adventure,General",56,128,Tacoma
5888,Tacoma,XboxOne,8/2/2017,79,6.4,"TheFullbrightCompany,Fullbright","Adventure,General",20,53,Tacoma
5889,Taiko no Tatsujin: Drum 'n' Fun!,Switch,11/2/2018,78,8.0,BandaiNamcoGames,"Action,Rhythm,Music",22,34,Taiko no Tatsujin: Drum 'n' Fun!
5890,Taiko no Tatsujin: Drum Session!,PlayStation4,2-Nov-18,70,7.5,BandaiNamcoGames,"Action,Rhythm,Music",13,13,
5891,Take Command: 2nd Manassas,PC,26-Apr-06,74,7.8,MadMinuteGames,"Strategy,Real-Time,Wargame,Real-Time,General",20,40,
5892,Take On Helicopters,PC,16-Oct-11,70,6.7,BohemiaInteractive,"Simulation,Flight,Helicopter,Helicopter,Civilian",10,27,
5893,Tales From Space: About a Blob,PlayStation3,2/8/2011,76,7.8,DrinkBoxStudios,"Action,Platformer,Platformer,2D,2D",24,16,Tales From Space: About a Blob
5894,Tales from the Borderlands: A Telltale Game Series,PlayStation4,10/20/2015,86,8.1,TelltaleGames,"Adventure,General",8,515,Tales from the Borderlands
5895,Tales from the Borderlands: A Telltale Game Series,PC,10/20/2015,85,8.5,TelltaleGames,"Adventure,General",19,516,Tales from the Borderlands
5896,Tales From The Borderlands: Episode 1 - Zer0 Sum,PC,11/25/2014,84,8.5,TelltaleGames,"Miscellaneous,General,Adventure,General",43,372,Tales from the Borderlands
5897,Tales From The Borderlands: Episode 1 - Zer0 Sum,PlayStation4,11/25/2014,80,7.8,TelltaleGames,"Miscellaneous,General,Adventure,General",15,163,Tales from the Borderlands
5898,Tales From The Borderlands: Episode 1 - Zer0 Sum,XboxOne,11/26/2014,82,8.2,TelltaleGames,"Miscellaneous,General,Adventure,General",8,62,Tales from the Borderlands
