Game Name,Franchise,Release Year,Years Since,First Release Year,Main Genre,Tier by Score,Critics,Critic_Score,Users,User Score,Developer,Global Sales,Other Info
Magic: The Gathering - Duels of the Planeswalkers 2012,Magic,2011,9,2002,Strategy,Tier 3,12,74,15,6.3,StainlessGames,,"Strategy,Miscellaneous,Turn-Based,Card Battle,Card Battle"
Magic: The Gathering - Duels of the Planeswalkers 2012,Magic,2011,9,2002,Strategy,Tier 3,20,77,111,5.8,StainlessGames,,"Strategy,Miscellaneous,Turn-Based,Card Battle,Card Battle"
Magic: The Gathering - Duels of the Planeswalkers 2013,Magic,2012,10,2002,Strategy,Tier 3,11,77,101,6.8,StainlessGames,,"Strategy,Miscellaneous,Turn-Based,Card Battle,Card Battle"
Magic: The Gathering Arena,Magic,2018,16,2002,Strategy,Tier 2,20,84,100,3.5,MagicDigitalStudio,,"Strategy,Turn-Based,Card Battle"
Magic: The Gathering Online,Magic,2002,0,2002,Strategy,Tier 3,9,75,37,5.0,LeapingLizardSoftwareInc.,,"Strategy,Miscellaneous,Turn-Based,Card Battle,Card Battle"
Magic & Mayhem: The Art of Magic,Magic & Mayhem,2001,0,2001,Strategy,Tier 3,14,71,7,7.0,Charybdis,,"Strategy,Real-Time,Fantasy,General,Fantasy"
Magicka,Magicka,2011,0,2011,Action Adventure,Tier 3,44,74,645,7.6,ArrowheadGameStudios,0.03,"Action Adventure,Fantasy,General,Fantasy"
Magicka 2,Magicka,2015,4,2011,Fantasy,Tier 3,18,72,94,6.3,PiecesInteractive,,"Fantasy,Action Adventure,General"
Magicka 2,Magicka,2015,4,2011,Fantasy,Tier 4,37,69,92,5.9,PiecesInteractive,,"Fantasy,Action Adventure,General"
Magicka: Wizard Wars,Magicka,2014,3,2011,Action Adventure,Tier 4,10,69,45,7.2,ParadoxNorth,,"Action Adventure,Fantasy,General"
Majestic,Majestic,2001,0,2001,Adventure,Tier 4,8,66,4,7.3,Anim-X,,"Adventure,General,General"
High Heat Major League Baseball 2002,Major League Baseball,2001,0,2001,Sports,Tier 3,12,76,14,7.6,3DO,,"Sports,Traditional,Team,Baseball,Sim,Sim"
High Heat Major League Baseball 2003,Major League Baseball,2002,1,2001,Sports,Tier 4,8,67,9,7.3,3DO,,"Sports,Traditional,Team,Baseball,Sim,Sim"
Major League Baseball 2K10,Major League Baseball ,2010,3,2007,Sports,Tier 3,19,74,4,5.3,VisualConcepts,0.19,"Sports,Traditional,Team,Baseball,Sim,Sim"
Major League Baseball 2K11,Major League Baseball ,2011,4,2007,Sports,Tier 3,13,72,9,6.3,VisualConcepts,0.2,"Sports,Traditional,Team,Baseball,Sim,Sim"
Major League Baseball 2K12,Major League Baseball ,2012,5,2007,Sports,Tier 4,8,68,5,4.4,VisualConcepts,0.19,"Sports,Traditional,Team,Baseball,Sim,Sim"
Major League Baseball 2K7,Major League Baseball ,2007,0,2007,Sports,Tier 3,19,74,7,4.7,KushGames,0.25,"Sports,Traditional,Team,Baseball,Sim,Sim"
Major League Baseball 2K8,Major League Baseball ,2008,1,2007,Sports,Tier 4,23,67,8,5.6,KushGames,0.31,"Sports,Traditional,Team,Baseball,Sim,Sim"
Maldita Castilla EX: Cursed Castilla,Maldita Castilla EX,2016,0,2016,Action,Tier 2,12,81,33,7.8,Locomalito,,"Action,Platformer,2D"
Maldita Castilla EX: Cursed Castilla,Maldita Castilla EX,2016,0,2016,Action,Tier 2,7,81,20,7.4,Locomalito,,"Action,Platformer,2D"
Manhunt,Manhunt,2004,0,2004,Action Adventure,Tier 3,28,75,161,7.7,RockstarNorth,,"Action Adventure,Modern,General,Modern"
Manifold Garden,Manifold Garden,2020,0,2020,Action Adventure,Tier 3,9,75,6,7.3,WilliamChyrStudioLLC,,"Action Adventure,General"
Manifold Garden,Manifold Garden,2020,0,2020,Action Adventure,Tier 2,17,85,35,7.9,WilliamChyrStudioLLC,,"Action Adventure,General"
Mantis Burn Racing,Mantis Burn Racing,2016,0,2016,Racing,Tier 3,9,79,17,7.1,VooFooStudios,,"Racing,Arcade,Automobile"
Mantis Burn Racing,Mantis Burn Racing,2017,1,2016,Racing,Tier 3,10,77,35,7.9,VooFooStudios,,"Racing,Arcade,Automobile"
Mario + Rabbids: Kingdom Battle - Donkey Kong Adventure,Mario + Rabbid,2018,0,2018,Strategy,Tier 2,31,82,75,8.2,UbisoftMilan,,"Strategy,Turn-Based,Tactics"
Mario + Rabbids: Kingdom Battle,Mario + Rabbids: Kingdom Battle,2017,0,2017,Action,Tier 2,104,85,1084,8.4,"Ubisoft,UbisoftParis,UbisoftMilan",,"Action,General,Strategy,Turn-Based,Tactics"
New Super Mario Bros. U Deluxe,Mario Bros.,2019,0,2019,Action,Tier 2,70,80,272,7.0,Nintendo,,"Action,Platformer,2D"
Mario Kart 8 Deluxe,Mario Kart,2017,0,2017,General,Tier 1,95,92,1952,8.6,Nintendo,,"Other,Racing,Arcade,Automobile"
