Game Name,Franchise,Platform,Release Year,Years Since,First Release Year,Main Genre,Tier by Score,Critics,Critic_Score,Users,User Score,Developer,Global Sales,Other Info
Minecraft: Story Mode - Episode 1: The Order of the Stone,Minecraft,Xbox,2015,4,2011,Action Adventure,Tier 3,13,77,62,5.6,TelltaleGames,,"Action Adventure,Adventure,General,Point-and-Click,Linear"
Minecraft: Story Mode - Episode 1: The Order of the Stone,Minecraft,PC,2015,4,2011,Action Adventure,Tier 3,25,71,264,4.4,TelltaleGames,,"Action Adventure,Adventure,General,Point-and-Click,Linear"
Minecraft: Story Mode - Episode 1: The Order of the Stone,Minecraft,PlayStation,2015,4,2011,Action Adventure,Tier 3,23,71,83,4.3,TelltaleGames,,"Action Adventure,Adventure,General,Point-and-Click,Linear"
Minecraft: Story Mode - Episode 3: The Last Place You Look,Minecraft,Xbox,2015,4,2011,Action Adventure,Tier 3,9,75,19,7.1,TelltaleGames,,"Action Adventure,Adventure,General,Point-and-Click,Linear"
Minecraft: Story Mode - Episode 3: The Last Place You Look,Minecraft,PlayStation,2015,4,2011,Action Adventure,Tier 3,7,73,30,5.0,TelltaleGames,,"Action Adventure,Adventure,General,Point-and-Click,Linear"
Minecraft: Story Mode - Episode 3: The Last Place You Look,Minecraft,PC,2015,4,2011,Action Adventure,Tier 3,10,73,44,6.5,TelltaleGames,,"Action Adventure,Adventure,General,Point-and-Click,Linear"
Minecraft: Story Mode - Episode 4: A Block and a Hard Place,Minecraft,PlayStation,2015,4,2011,Action Adventure,Tier 3,8,72,20,6.5,TelltaleGames,,"Action Adventure,Adventure,Point-and-Click,Linear"
Minecraft: Story Mode - Episode 4: A Block and a Hard Place,Minecraft,Xbox,2015,4,2011,Action Adventure,Tier 3,8,71,12,6.8,TelltaleGames,,"Action Adventure,Adventure,Point-and-Click,Linear"
Minecraft: Story Mode - Episode 4: A Block and a Hard Place,Minecraft,PC,2015,4,2011,Action Adventure,Tier 4,8,68,26,5.6,TelltaleGames,,"Action Adventure,Adventure,Point-and-Click,Linear"
Minecraft: Story Mode - Episode 5: Order Up!,Minecraft,PlayStation,2016,5,2011,Action Adventure,Tier 3,9,72,19,7.1,TelltaleGames,,"Action Adventure,Adventure,Point-and-Click,Linear"
Minecraft: Story Mode Season Two - Episode 1: Hero in Residence,Minecraft,Xbox,2017,6,2011,Adventure,Tier 3,7,71,14,4.1,TelltaleGames,,"Adventure,Point-and-Click"
Minecraft: Story Mode Season Two - Episode 1: Hero in Residence,Minecraft,PC,2017,6,2011,Adventure,Tier 3,11,71,27,4.3,TelltaleGames,,"Adventure,Point-and-Click"
Minecraft: Story Mode Season Two - Episode 1: Hero in Residence,Minecraft,PlayStation,2017,6,2011,Adventure,Tier 4,10,68,37,5.2,TelltaleGames,,"Adventure,Point-and-Click"
Minecraft: Story Mode Season Two - Episode 2: Giant Consequences,Minecraft,PC,2017,6,2011,Adventure,Tier 3,8,74,25,6.1,TelltaleGames,,"Adventure,Point-and-Click"
Minecraft: Story Mode Season Two - Episode 3: Jailhouse Block,Minecraft,PC,2017,6,2011,Adventure,Tier 3,8,71,25,7.5,TelltaleGames,,"Adventure,Point-and-Click"
Minecraft: Switch Edition,Minecraft,Switch,2017,6,2011,Action Adventure,Tier 2,24,86,269,7.5,4JStudios,,"Action Adventure,Sandbox"
Minecraft: Xbox One Edition,Minecraft,Xbox,2014,3,2011,Action Adventure,Tier 2,14,88,349,7.1,"4JStudios,MojangAB",,"Action Adventure,Adventure,3D,Sandbox,First-Person,Fantasy,Fantasy"
Mini Metro,Mini Metro,PC,2014,0,2014,Strategy,Tier 3,8,77,82,7.7,DinosaurPoloClub,,"Strategy,City Building,Management,Modern,Government"
Mini Metro,Mini Metro,Switch,2018,4,2014,Strategy,Tier 2,9,86,32,8.4,"RadialGamesCorp.,DinosaurPoloClub",,"Strategy,Management,Government"
Minit,Minit,PC,2018,0,2018,Adventure,Tier 3,21,79,56,6.6,DevolverDigital,,"Adventure,General"
Minit,Minit,PlayStation,2018,0,2018,Adventure,Tier 2,27,81,24,6.8,"JW,Kitty,Jukio,andDom",,"Adventure,General"
Minit,Minit,Switch,2018,0,2018,Adventure,Tier 2,7,80,23,7.8,"JW,Kitty,Jukio,andDom",,"Adventure,General"
Minoria,Minoria,PlayStation,2020,0,2020,Adventure,Tier 3,7,76,4,6.0,Bombservice,,"Adventure,General"
Minutes,Minutes,PlayStation,2015,0,2015,Action,Tier 3,11,76,20,7.2,RedPhantomGames,,"Action,General"
Mirror's Edge,Mirror's Edge,PlayStation,2008,0,2008,Action,Tier 3,66,79,415,7.7,EADICE,1.13,"Action,Action Adventure,Shooter,Modern,General,Modern,First-Person,Modern"
Mirror's Edge,Mirror's Edge,PC,2009,1,2008,Action,Tier 2,44,81,1295,8.0,EADICE,0.06,"Action,Shooter,First-Person,Modern,Action Adventure,Modern,General,Modern"
Missing: Since January,Missing: Since January,PC,2004,0,2004,Adventure,Tier 3,24,75,10,6.5,LexisNumerique,,"Adventure,General,General"
Mobile Forces,Mobile Forces,PC,2002,0,2002,Simulation,Tier 4,8,68,11,7.4,RageSoftware,,"Simulation,Driving,Car Combat,Car Combat,Vehicle,Combat"
Mobile Suit Gundam: Extreme VS. MaxiBoost ON,Mobile Suit Gundam: Extreme VS. MaxiBoost ON,PlayStation,2020,0,2020,Action,Tier 3,18,78,33,7.3,BandaiNamcoGames,,"Action,Fighting,3D"
ModNation Racers,ModNation Racers,PlayStation,2010,0,2010,Racing,Tier 2,85,82,224,8.4,UnitedFrontGames,1.12,"Driving,Racing,Arcade,Kart,Other,Kart"
Momodora: Reverie Under the Moonlight,Momodora: Reverie Under the Moonlight,PlayStation,2017,0,2017,Action,Tier 3,22,76,39,7.3,Bombservice,,"Action,Action Adventure,General,Open-World"
Monaco: What's Yours Is Mine,Monaco: What's Yours Is Mine,PC,2013,0,2013,Adventure,Tier 2,47,83,221,7.7,PocketwatchGames,,"Adventure,General,General"
Monday Night Combat,Monday Night Combat,PC,2011,0,2011,Action,Tier 2,10,82,66,7.2,UberEntertainment,,"Action,Shooter,Shooter,Third-Person,Modern,Modern,Arcade"
The Curse of Monkey Island,Moneky Island,PC,1997,0,1997,Adventure,Tier 2,9,89,323,9.0,LucasArts,,"Adventure,General,General,Point-and-Click"
Monkey Island 2 Special Edition: LeChuck's Revenge,Monkey Island,PlayStation,2010,0,2010,Adventure,Tier 2,10,87,57,8.1,LucasArts,,"Adventure,General,General,Point-and-Click"
Monkey Island 2 Special Edition: LeChuck's Revenge,Monkey Island,PC,2010,0,2010,Adventure,Tier 2,27,87,234,8.8,LucasArts,,"Adventure,General,General,Point-and-Click"
Monopoly Tycoon,Monopoly Tycoon,PC,2001,0,2001,Strategy,Tier 2,10,85,32,7.7,DeepRed,,"Strategy,Tycoon,Management,Tycoon,Business / Tycoon"
Monster Boy and the Cursed Kingdom,Monster Boy and the Cursed Kingdom,PlayStation,2018,0,2018,Action Adventure,Tier 2,18,87,72,8.0,FDGEntertainment,,"Action Adventure,General"
Monster Boy and the Cursed Kingdom,Monster Boy and the Cursed Kingdom,Switch,2018,0,2018,Action Adventure,Tier 2,22,86,117,8.3,FDGEntertainment,,"Action Adventure,General"
Monster Boy and the Cursed Kingdom,Monster Boy and the Cursed Kingdom,Xbox,2018,0,2018,Action Adventure,Tier 2,12,85,27,7.9,FDGEntertainment,,"Action Adventure,General"
Monster Hunter: World,Monster Hunter,Xbox,2018,0,2018,Role-Play,Tier 1,17,90,426,7.1,Capcom,,"Role-Playing,Action RPG"
Monster Hunter: World,Monster Hunter,PlayStation,2018,0,2018,Role-Play,Tier 1,93,90,1741,7.7,Capcom,,"Role-Playing,Action RPG"
Monster Hunter: World,Monster Hunter,PC,2018,0,2018,Role-Play,Tier 2,34,88,678,6.7,Capcom,,"Role-Playing,Action RPG"
Monster Hunter: World - Iceborne,Monster Hunter,Xbox,2019,1,2018,Role-Play,Tier 1,9,90,72,8.2,Capcom,,"Role-Playing,Action RPG"
Monster Hunter: World - Iceborne,Monster Hunter,PlayStation,2019,1,2018,Role-Play,Tier 2,65,89,297,8.4,Capcom,,"Role-Playing,Action RPG"
Monster Hunter: World - Iceborne,Monster Hunter,PC,2020,2,2018,Role-Play,Tier 2,31,87,172,7.8,Capcom,,"Role-Playing,Action RPG"
Monster Hunter Generations Ultimate,Monster Hunter Generations Ultimate,Switch,2018,0,2018,Role-Play,Tier 2,52,80,146,8.5,Capcom,,"Role-Playing,Action RPG"
Monster Train,Monster Train,PC,2020,0,2020,Strategy,Tier 2,26,85,36,8.2,ShinyShoe,,"Strategy,Turn-Based,Card Battle"
Moon: Remix RPG Adventure,Moon: Remix RPG Adventure,Switch,2020,0,2020,Role-Play,Tier 3,19,77,18,7.9,OnionGames,,"Role-Playing,General"
MoonBase Commander,MoonBase Commander,PC,2002,0,2002,Strategy,Tier 3,13,77,10,6.6,HumongousEntertainment,,"Strategy,Turn-Based,Real-Time,Sci-Fi,Sci-Fi,General"
Moonlighter,Moonlighter,Xbox,2018,0,2018,Role-Play,Tier 2,7,84,55,7.5,"11bitstudios,DigitalSun",,"Role-Playing,Action RPG"
Moonlighter,Moonlighter,PlayStation,2018,0,2018,Role-Play,Tier 2,28,81,92,7.3,"11bitstudios,DigitalSun",,"Role-Playing,Action RPG"
Moonlighter,Moonlighter,Switch,2018,0,2018,Role-Play,Tier 2,23,83,95,8.1,"11bitstudios,DigitalSun",,"Role-Playing,Action RPG"
Mortal Kombat,Mortal Kombat,PlayStation,2011,3,2008,Action,Tier 2,60,84,576,8.5,NetherRealmStudios,2.84,"Action,Fighting,Fighting,2D,2D"
Mortal Kombat 11,Mortal Kombat,Xbox,2019,11,2008,Action,Tier 2,26,86,461,3.3,NetherRealmStudios,,"Action,Fighting,2D"
Mortal Kombat 11,Mortal Kombat,PC,2019,11,2008,Action,Tier 2,12,82,625,3.0,NetherRealmStudios,,"Action,Fighting,2D"
Mortal Kombat 11,Mortal Kombat,PlayStation,2019,11,2008,Action,Tier 2,85,82,2020,3.6,NetherRealmStudios,,"Action,Fighting,2D"
Mortal Kombat 11,Mortal Kombat,Switch,2019,11,2008,Action,Tier 3,13,78,332,3.9,"NetherRealmStudios,ShiverGames",,"Action,Fighting,2D"
Mortal Kombat 11: Aftermath,Mortal Kombat,Xbox,2020,12,2008,Action,Tier 3,11,79,20,6.7,NetherRealmStudios,,"Action,Fighting,2D"
Mortal Kombat 11: Aftermath,Mortal Kombat,PlayStation,2020,12,2008,Action,Tier 3,37,75,99,6.0,NetherRealmStudios,,"Action,Fighting,2D"
Mortal Kombat Komplete Edition,Mortal Kombat,PC,2013,5,2008,Action,Tier 2,18,81,661,8.7,NetherRealmStudios,,"Action,Miscellaneous,Fighting,Fighting,Compilation,2D,2D"
Mortal Kombat vs. DC Universe,Mortal Kombat,PlayStation,2008,0,2008,Action,Tier 3,44,76,139,7.1,Midway,2.0,"Action,Fighting,Fighting,3D,2D,3D"
Mortal Kombat X,Mortal Kombat,PC,2015,7,2008,Action,Tier 3,10,76,618,5.7,HighVoltageSoftware,0.05,"Action,Fighting,2D,3D"
Mortal Kombat X,Mortal Kombat,Xbox,2015,7,2008,Action,Tier 2,21,86,355,7.6,"WarnerBros.InteractiveEntertainment,NetherRealmStudios",1.38,"Action,Fighting,2D,3D"
Mortal Kombat X,Mortal Kombat,PlayStation,2015,7,2008,Action,Tier 2,81,83,1058,7.8,"WarnerBros.InteractiveEntertainment,NetherRealmStudios",2.78,"Action,Fighting,2D,3D"
Mortal Kombat XL,Mortal Kombat,PlayStation,2016,8,2008,Action,Tier 2,12,85,510,7.7,NetherRealmStudios,,"Action,Fighting,2D"
Mortal Shell,Mortal Shell,PC,2020,0,2020,Role-Play,Tier 3,43,76,270,6.6,ColdSymmetry,,"Role-Playing,Action RPG"
Mortal Shell,Mortal Shell,PlayStation,2020,0,2020,Role-Play,Tier 3,31,75,148,7.3,ColdSymmetry,,"Role-Playing,Action RPG"
Mortal Shell,Mortal Shell,Xbox,2020,0,2020,Role-Play,Tier 3,14,75,33,7.2,ColdSymmetry,,"Role-Playing,Action RPG"
Moss,Moss,PlayStation,2018,0,2018,Action Adventure,Tier 2,64,85,194,8.0,Polyarc,,"Action Adventure,General"
Mothergunship,Mothergunship,PlayStation,2018,0,2018,Action,Tier 3,20,78,18,5.0,GripDigital,,"Action,General"
Mothergunship,Mothergunship,Xbox,2018,0,2018,Action,Tier 3,16,77,7,7.6,GripDigital,,"Action,General"
Moto Racer 3,Moto Racer,PC,2002,0,2002,Racing,Tier 4,10,66,11,7.5,DelphineSoftwareInternational,,"Driving,Racing,Arcade,Motorcycle,Other,Motocross,Motocross"
MotoGP 08,MotoGP,PC,2008,3,2005,Racing,Tier 4,9,65,8,5.6,MilestoneS.r.l,,"Driving,Racing,Simulation,Motorcycle,Automobile,Street,Street"
MotoGP 08,MotoGP,PlayStation,2008,3,2005,Racing,Tier 4,21,65,9,6.0,MilestoneS.r.l,0.39,"Driving,Racing,Simulation,Motorcycle,Automobile,Street,Street"
MotoGP 09/10,MotoGP,PlayStation,2010,5,2005,Racing,Tier 3,42,70,29,5.4,MonumentalGames,0.22,"Driving,Racing,Simulation,Motorcycle,Automobile,Street,Street"
MotoGP 10/11,MotoGP,PlayStation,2011,6,2005,Racing,Tier 4,32,68,24,6.9,MonumentalGames,0.17,"Driving,Racing,Simulation,Motorcycle,Automobile,Street,Street"
MotoGP 13,MotoGP,PlayStation,2014,9,2005,Racing,Tier 3,10,73,9,6.0,MilestoneS.r.l,,"Driving,Racing,Simulation,Motorcycle,Automobile,Motocross,Street"
MotoGP 14,MotoGP,PlayStation,2014,9,2005,Racing,Tier 3,28,73,27,6.5,MilestoneS.r.l,0.18,"Driving,Racing,Simulation,Motorcycle,Automobile,Street"
MotoGP 17,MotoGP,PlayStation,2017,12,2005,Racing,Tier 4,21,68,9,4.4,"KochMedia,MilestoneS.r.l",,"Racing,Arcade,Automobile"
MotoGP 18,MotoGP,PlayStation,2018,13,2005,Racing,Tier 4,25,66,26,4.9,MilestoneS.r.l,,"Racing,Simulation,Automobile"
MotoGP 19,MotoGP,PlayStation,2019,14,2005,Racing,Tier 3,25,76,36,7.6,MilestoneS.r.l,,"Racing,Simulation,Automobile"
MotoGP 19,MotoGP,Xbox,2019,14,2005,Racing,Tier 3,9,75,11,7.4,MilestoneS.r.l,,"Racing,Simulation,Automobile"
MotoGP 20,MotoGP,Xbox,2020,15,2005,Racing,Tier 2,11,82,14,6.8,"MilestoneS.r.l,DornaSportsS.L.",,"Racing,Simulation,Arcade,Automobile"
MotoGP 20,MotoGP,PlayStation,2020,15,2005,Racing,Tier 3,30,76,23,7.3,"MilestoneS.r.l,DornaSportsS.L.",,"Racing,Simulation,Arcade,Automobile"
MotoGP 3: Ultimate Racing Technology,MotoGP,PC,2005,0,2005,Racing,Tier 3,11,77,23,7.3,"ClimaxGroup,ClimaxStudios",,"Driving,Racing,Simulation,Motorcycle,Automobile,Street,Street"
Motocross Mania,Motocross Mania,PC,2000,0,2000,Racing,Tier 3,7,73,4,6.8,DeibusStudios,,"Driving,Racing,Arcade,Motorcycle,Other,Motocross,Motocross"
Motor City Online,Motor City Online,PC,2001,0,2001,Racing,Tier 3,12,73,35,6.3,EAGames,,"Driving,Racing,Simulation,GT / Street,Automobile"
MotorStorm,MotorStorm,PlayStation,2007,0,2007,Racing,Tier 2,9,84,263,7.4,EvolutionStudios,3.87,"Driving,Racing,Simulation,Rally / Offroad,Rally / Offroad,Automobile"
MotorStorm: Apocalypse,MotorStorm,PlayStation,2011,4,2007,Racing,Tier 3,74,77,182,7.9,EvolutionStudios,0.48,"Driving,Racing,Simulation,Rally / Offroad,Rally / Offroad,Automobile"
MotorStorm: Pacific Rift,MotorStorm,PlayStation,2008,1,2007,Racing,Tier 2,63,82,351,8.1,EvolutionStudios,1.35,"Driving,Racing,Simulation,Rally / Offroad,Rally / Offroad,Automobile"
Motorsport Manager,Motorsport Man,PC,2016,0,2016,Action,Tier 2,16,81,82,8.3,"PlaysportGames,PlaysportGamesLtd",,"Action,Simulation,General,Virtual,Career"
Mount & Blade: Warband,Mount & Blade: Warband,PC,2010,0,2010,Role-Play,Tier 3,23,78,1123,8.8,TaleworldsEntertainment,0.02,"Role-Playing,PC-style RPG,PC-style RPG,Western-Style"
Moving Out,Moving Out,PC,2020,0,2020,Puzzle,Tier 3,8,79,13,7.2,SMGStudio,,"Puzzle,Action"
Moving Out,Moving Out,Switch,2020,0,2020,Puzzle,Tier 3,22,77,22,7.0,SMGStudio,,"Puzzle,Action"
Moving Out,Moving Out,Xbox,2020,0,2020,Puzzle,Tier 3,15,78,15,6.8,SoldOut,,"Puzzle,Action"
Mr. Driller: Drill Land,Mr. Driller: Drill Land,Switch,2020,0,2020,Puzzle,Tier 2,23,80,9,7.8,BandaiNamcoGames,,"Puzzle,Action"
Multiwinia: Survival of the Flattest,Multiwinia: Survival of the Flattest,PC,2008,0,2008,Strategy,Tier 3,38,76,70,8.7,Introversion,,"Strategy,Real-Time,Sci-Fi,Sci-Fi,General"
Murder by Numbers,Murder by Numbers,Switch,2020,0,2020,Adventure,Tier 3,16,78,25,7.4,Mediatonic,,"Adventure,General"
Murder by Numbers,Murder by Numbers,PC,2020,0,2020,Adventure,Tier 3,18,78,16,7.2,Mediatonic,,"Adventure,General"
Mushroom 11,Mushroom 11,PC,2015,0,2015,Action,Tier 3,20,78,20,7.3,Untame,,"Action,Platformer,2D"
Musynx,Musynx,Switch,2018,0,2018,Action,Tier 3,7,78,13,8.0,PMStudiosInc.,,"Action,Rhythm,Music"
Mutant Mudds Collection,Mutant Mudds Collection,Switch,2017,0,2017,Action,Tier 2,10,85,32,8.3,"RenegadeKid,AtooiLLC",,"Action,Miscellaneous,Platformer,Compilation,2D"
Mutant Year Zero: Road to Eden,Mutant Year Zero,Xbox,2018,0,2018,Strategy,Tier 2,13,80,72,8.1,"HighVoltageSoftware,TheBeardedLadiesConsulting",,"Strategy,Turn-Based,Tactics"
Mutant Year Zero: Road to Eden,Mutant Year Zero,PlayStation,2018,0,2018,Strategy,Tier 3,21,76,83,7.7,"HighVoltageSoftware,TheBeardedLadiesConsulting",,"Strategy,Turn-Based,Tactics"
Mutant Year Zero: Road to Eden,Mutant Year Zero,PC,2018,0,2018,Strategy,Tier 3,57,78,301,7.8,TheBeardedLadiesConsulting,,"Strategy,Turn-Based,Tactics"
Mutazione,Mutazione,PC,2019,0,2019,Adventure,Tier 2,7,80,20,7.4,DieGuteFabrik,,"Adventure,Point-and-Click"
Mutazione,Mutazione,PlayStation,2019,0,2019,Adventure,Tier 3,11,76,19,7.2,DieGuteFabrik,,"Adventure,Point-and-Click"
My Brother Rabbit,My Brother Rabbit,Xbox,2018,0,2018,Puzzle,Tier 3,7,78,10,7.5,ArtifexMundi,,"Puzzle,Hidden Object"
My Friend Pedro,My Friend Pedro,PC,2019,0,2019,Action,Tier 2,30,81,197,8.0,DeadToastEntertainment,,"Action,Platformer,2D"
My Friend Pedro,My Friend Pedro,Switch,2019,0,2019,Action,Tier 3,49,78,106,7.8,DeadToastEntertainment,,"Action,Platformer,2D"
My Memory of Us,My Memory of Us,Switch,2019,0,2019,Action,Tier 3,17,77,17,7.6,"JugglerGames,JugglerGames/CrunchingKoalas",,"Action,Platformer,2D"
My Time At Portia,My Time At Portia,PlayStation,2019,0,2019,Simulation,Tier 3,12,75,38,5.0,PatheaGames,,"Simulation,Virtual,Virtual Life"
Myst III: Exile,Myst,PC,2001,0,2001,Adventure,Tier 2,22,83,55,7.6,PrestoStudios,,"Adventure,3D,First-Person,Fantasy,Fantasy"
Myst V: End of Ages,Myst V: End of Ages,PC,2005,0,2005,Adventure,Tier 2,26,80,55,7.6,CyanWorlds,,"Adventure,3D,First-Person,Fantasy,Fantasy"
Myth II: Soulblighter,Myth,PC,1998,1,1997,Strategy,Tier 2,12,88,72,8.7,"BungieSoftware,Bungie",,"Strategy,Real-Time,Fantasy,General"
Myth III: The Wolf Age,Myth,PC,2001,4,1997,Strategy,Tier 3,12,76,12,6.8,MumboJumbo,,"Strategy,Real-Time,Fantasy,General"
Myth: The Fallen Lords,Myth,PC,1997,0,1997,Strategy,Tier 1,9,91,93,8.5,"BungieSoftware,Bungie",,"Strategy,Real-Time,Fantasy,General,Fantasy"
N++,N++,PlayStation,2015,0,2015,General,Tier 2,47,82,69,6.6,MetanetSoftwareInc.,,"Platformer,2D,Action,Platformer,2D"
N++,N++,Xbox,2017,2,2015,Action,Tier 2,7,88,20,5.5,MetanetSoftwareInc.,,"Action,Platformer,2D"
N++,N++,Switch,2018,3,2015,Action,Tier 2,10,80,15,8.5,MetanetSoftwareInc.,,"Action,Platformer,2D"
NASCAR '14,NASCAR,PlayStation,2014,14,2000,Action,Tier 4,7,67,22,5.0,Eutechnyx,0.11,"GT / Street,Driving,Racing,Simulation,GT / Street,Stock Car,Automobile"
NASCAR 09,NASCAR,PlayStation,2008,8,2000,Racing,Tier 4,22,65,10,7.5,EAGames,0.25,"Driving,Racing,Simulation,Stock Car,Stock Car,Automobile"
NASCAR Heat,NASCAR,PC,2000,0,2000,Racing,Tier 2,13,81,21,7.7,MonsterGamesInc.,,"Driving,Racing,Simulation,Stock Car,Stock Car,Automobile"
NASCAR Heat 2,NASCAR,PlayStation,2017,17,2000,Racing,Tier 4,12,66,25,5.7,"MonsterGamesInc.,704Games",,"Racing,Simulation,Automobile"
NASCAR Heat 3,NASCAR,Xbox,2018,18,2000,Racing,Tier 4,7,68,8,7.3,704Games,,"Racing,Simulation,Automobile"
NASCAR Heat 4,NASCAR,Xbox,2019,19,2000,Racing,Tier 3,7,74,5,5.8,"MonsterGamesInc.,704Games",,"Racing,Simulation,Automobile"
NASCAR Heat 4,NASCAR,PlayStation,2019,19,2000,Racing,Tier 3,7,70,17,5.2,"MonsterGamesInc.,704Games",,"Racing,Simulation,Automobile"
NASCAR Heat Evolution,NASCAR,PlayStation,2016,16,2000,Racing,Tier 4,8,66,26,4.4,"MonsterGamesInc.,DusenberryMartinRacing",0.05,"Racing,Simulation,Automobile"
NASCAR Racing 2002 Season,NASCAR,PC,2002,2,2000,Racing,Tier 2,15,89,23,5.4,Papyrus,,"Driving,Racing,Simulation,Stock Car,Stock Car,Automobile"
NASCAR Racing 2003 Season,NASCAR,PC,2003,3,2000,Racing,Tier 2,18,89,29,7.6,Papyrus,,"Driving,Racing,Simulation,Stock Car,Stock Car,Automobile"
NASCAR Racing 4,NASCAR,PC,2001,1,2000,Racing,Tier 2,14,89,28,7.4,Papyrus,,"Driving,Racing,Simulation,Stock Car,Stock Car,Automobile"
NASCAR SimRacing,NASCAR,PC,2005,5,2000,Racing,Tier 2,14,85,19,4.8,EATiburon,,"Driving,Racing,Simulation,Stock Car,Stock Car,Automobile"
NASCAR Thunder 2003,NASCAR,PC,2002,2,2000,Racing,Tier 4,9,68,12,5.2,EATiburon,,"Driving,Racing,Simulation,Stock Car,Stock Car,Automobile"
NASCAR Thunder 2004,NASCAR,PC,2003,3,2000,Racing,Tier 3,9,78,12,7.5,EAGames,,"Driving,Racing,Simulation,Stock Car,Stock Car,Automobile"
NBA 2K Playgrounds 2,NBA,PlayStation,2018,17,2001,Sports,Tier 3,29,73,38,5.4,SaberInteractive,,"Sports,Team,Basketball,Arcade"
NBA 2K10,NBA,PlayStation,2009,8,2001,Sports,Tier 2,30,83,40,7.8,VisualConcepts,0.84,"Sports,Traditional,Team,Basketball,Sim,Sim"
NBA 2K19,NBA,Xbox,2018,17,2001,Sports,Tier 2,18,83,106,2.8,VisualConcepts,,"Sports,Team,Basketball,Arcade,Sim"
NBA 2K19,NBA,PlayStation,2018,17,2001,Sports,Tier 2,49,82,442,2.7,VisualConcepts,,"Sports,Team,Basketball,Arcade,Sim"
NBA 2K20,NBA,Xbox,2019,18,2001,Sports,Tier 2,18,80,310,1.4,VisualConcepts,,"Sports,Team,Basketball,Sim"
NBA 2K20,NBA,PlayStation,2019,18,2001,Sports,Tier 3,42,78,1142,1.3,VisualConcepts,,"Sports,Team,Basketball,Sim"
NBA 2K20,NBA,Switch,2019,18,2001,Sports,Tier 3,11,73,111,1.8,VisualConcepts,,"Sports,Team,Basketball,Sim"
NBA 2K21,NBA,PlayStation,2020,19,2001,Sports,Tier 4,49,68,446,0.7,VisualConcepts,,"Sports,Team,Basketball,Arcade"
NBA 2K21,NBA,Xbox,2020,19,2001,Sports,Tier 4,23,68,95,1.7,VisualConcepts,,"Sports,Team,Basketball,Arcade"
NBA 2K7,NBA,PlayStation,2006,5,2001,Sports,Tier 2,20,80,8,7.4,VisualConcepts,0.37,"Sports,Traditional,Team,Basketball,Sim,Sim"
NBA 2K8,NBA,PlayStation,2007,6,2001,Sports,Tier 2,18,81,19,6.8,VisualConcepts,0.55,"Sports,Traditional,Team,Basketball,Sim,Sim"
NBA 2K9,NBA,PlayStation,2008,7,2001,Sports,Tier 2,30,82,38,7.1,VisualConcepts,0.61,"Sports,Traditional,Team,Basketball,Sim,Sim"
NBA Jam,NBA,PlayStation,2010,9,2001,Sports,Tier 3,33,71,15,5.9,EACanada,0.39,"Sports,Traditional,Team,Basketball,Arcade,Arcade"
NBA Jam: On Fire Edition,NBA,PlayStation,2011,10,2001,Sports,Tier 2,16,81,27,7.3,EASports,,"Sports,Traditional,Team,Basketball,Arcade,Arcade"
NBA Live 06,NBA,PC,2005,4,2001,Sports,Tier 3,9,71,15,7.4,EACanada,,"Sports,Traditional,Team,Basketball,Sim,Sim"
NBA Live 08,NBA,PlayStation,2007,6,2001,Sports,Tier 3,28,73,10,6.8,EACanada,0.63,"Sports,Traditional,Team,Basketball,Sim,Sim"
NBA Live 09,NBA,PlayStation,2008,7,2001,Sports,Tier 3,32,75,15,7.8,EACanada,0.52,"Sports,Traditional,Team,Basketball,Sim,Sim"
NBA Live 10,NBA,PlayStation,2009,8,2001,Sports,Tier 2,32,81,25,7.5,EACanada,0.54,"Sports,Traditional,Team,Basketball,Sim,Sim"
NBA Live 18,NBA,Xbox,2017,16,2001,Sports,Tier 3,16,72,48,5.2,EASports,,"Sports,Team,Basketball,Sim"
NBA Live 18,NBA,PlayStation,2017,16,2001,Sports,Tier 3,24,72,117,5.9,EASports,,"Sports,Team,Basketball,Sim"
NBA Live 19,NBA,Xbox,2018,17,2001,Sports,Tier 3,12,75,33,6.5,"EASports,EATiburon",,"Sports,Team,Basketball,Sim"
NBA Live 19,NBA,PlayStation,2018,17,2001,Sports,Tier 3,26,73,73,6.3,"EASports,EATiburon",,"Sports,Team,Basketball,Sim"
NBA Live 2001,NBA,PC,2001,0,2001,Sports,Tier 3,13,78,12,6.9,EASports,,"Sports,Traditional,Team,Basketball,Sim,Sim"
NBA Live 2003,NBA,PC,2002,1,2001,Sports,Tier 2,7,80,49,7.8,EACanada,,"Sports,Traditional,Team,Basketball,Sim,Sim"
NBA Live 2004,NBA,PC,2003,2,2001,Sports,Tier 2,10,80,63,8.8,EASports,,"Sports,Traditional,Team,Basketball,Sim,Sim"
NBA Live 2005,NBA,PC,2004,3,2001,Sports,Tier 3,9,79,25,8.5,EACanada,,"Sports,Traditional,Team,Basketball,Sim,Sim"
NBA Playgrounds,NBA,PlayStation,2017,16,2001,Sports,Tier 4,18,68,31,6.5,SaberInteractive,,"Sports,Team,Basketball,Arcade"
NBA Playgrounds,NBA,PC,2017,16,2001,Sports,Tier 4,7,67,26,7.2,SaberInteractive,,"Sports,Team,Basketball,Arcade"
NBA Playgrounds,NBA,Xbox,2017,16,2001,Sports,Tier 4,21,66,29,5.9,SaberInteractive,,"Sports,Team,Basketball,Arcade"
