game_name,franchise,platform,release_date,release_year,years_since,first_release_year,main_genre,tier_by_score,critics,critic_score,users,user_score,developer,global_sales,other_info
Observer,Observer,Switch,2019-02-07,2019,2,2017,Adventure,Tier 3,16,75,28,8,BlooberTeam,,"Adventure,3D,First-Person"
Obsidian,Obsidian,PC,1996-12-31,1996,0,1996,Adventure,Tier 2,9,85,16,7,RocketScienceGames,,"Adventure,General,General"
Oceanhorn 2: Knights of the Lost Realm,Oceanhorn,Switch,2020-10-28,2020,5,2015,Action Adventure,Tier 3,10,73,9,9,Cornfox&Bros.,,"Action Adventure,Open-World"
Oceanhorn: Monster of Uncharted Seas,Oceanhorn,PC,2015-03-17,2015,0,2015,Action Adventure,Tier 3,11,74,57,7,Cornfox&Bros.,,"Action Adventure,Open-World"
Oceanhorn: Monster of Uncharted Seas,Oceanhorn,Switch,2017-06-22,2017,2,2015,Action Adventure,Tier 4,16,66,46,7,Cornfox&Bros.,,"Action Adventure,Open-World"
Octahedron: Transfixed Edition,Octahedron,Switch,2019-01-17,2019,1,2018,Action,Tier 3,10,78,11,8,Demimonde,,"Action,Platformer,2D"
Octopath Traveler,Octopath Traveler,PC,2019-06-07,2019,1,2018,Role-Play,Tier 2,23,80,107,7,SquareEnix,,"Role-Playing,Japanese-Style"
Octopath Traveler,Octopath Traveler,Switch,2018-07-12,2018,0,2018,General,Tier 2,79,83,1138,9,"SquareEnix,Acquire",,"General,Role-Playing,Japanese-Style"
Oddworld: Abe's Oddysee - New 'n' Tasty,Oddworld,PC,2015-02-25,2015,4,2011,Action,Tier 2,12,87,171,8,JustAddWater,,"Action,Platformer,Platformer,2D,2D"
Oddworld: Abe's Oddysee - New 'n' Tasty,Oddworld,Switch,2020-10-27,2020,9,2011,Action,Tier 3,20,78,13,8,SquareOneGames,,"Action,Platformer,2D"
Oddworld: Stranger's Wrath HD,Oddworld,Switch,2020-01-23,2020,9,2011,Action Adventure,Tier 3,31,72,23,8,"JustAddWater,SquareOneGames",,"Action Adventure,General"
Ode,Ode,PC,2017-11-27,2017,0,2017,Adventure,Tier 3,19,75,10,7,UbisoftReflections,,"Adventure,3D,Third-Person"
Offworld Trading Company,Offworld Trading Company,PC,2016-04-28,2016,0,2016,Strategy,Tier 3,29,78,77,7,MohawkGames,,"Strategy,Real-Time,General,Management,Business / Tycoon"
Okami HD,Okami HD,PC,2017-12-12,2017,5,2012,Action Adventure,Tier 1,10,92,192,8,Capcom,,"Action Adventure,General"
Okami HD,Okami HD,Switch,2018-08-09,2018,6,2012,Action Adventure,Tier 2,32,89,166,9,Capcom,,"Action Adventure,General"
OkunoKA,OkunoKA,Switch,2018-11-30,2018,0,2018,Action,Tier 2,7,80,15,8,CaracalGames,,"Action,Platformer,2D"
